tahun,provinsi,komoditas,supply_ton,demand_ton,gap_ton,mapping_type,data_quality,forecast_supported,optimizer_mode,supply_index,demand_index
2022,Papua Barat,Beras Medium I,14398.76,47419.32000000001,-33020.560000000005,exact,high,True,full,0.0023849103274473436,0.0015921811729682032
2022,Riau,Beras Medium I,122561.42,585082.0800000001,-462520.6600000001,exact,high,True,full,0.020330380997727042,0.10834544078301048
2022,Sulawesi Barat,Beras Medium I,203031.6,171138.66,31892.940000000002,exact,high,True,full,0.033681340145940736,0.02615672944445921
2022,Sulawesi Selatan,Beras Medium I,3075859.99,989780.8500000001,2086079.1400000001,exact,high,True,full,0.5103177099753425,0.18869862138580093
2022,Sulawesi Tengah,Beras Medium I,439408.72,332021.72,107387.0,exact,high,True,full,0.07289911339675746,0.058100156344693114
2022,Sulawesi Tenggara,Beras Medium I,275055.53,284521.00999999995,-9465.479999999923,exact,high,True,full,0.04563096604616618,0.04866886222588278
2022,Sulawesi Utara,Beras Medium I,136960.27,284386.3,-147426.03,exact,high,True,full,0.02271932132483028,0.04864211547555537
2022,Sumatera Barat,Beras Medium I,795306.36,589655.7100000001,205650.6499999999,exact,high,True,full,0.1319467612656409,0.10925353772978484
2022,Sumatera Selatan,Beras Medium I,1593597.7,850886.0499999999,742711.65,exact,high,True,full,0.26439278125357646,0.1611209765385273
2022,Sumatera Utara,Beras Medium I,1198045.75,1569108.52,-371062.77,exact,high,True,full,0.19876601211442121,0.30372447356643345
2023,Aceh,Beras Medium I,808955.47,560349.6,248605.87,exact,high,True,full,0.1342113108170334,0.10343479222286064
2023,Bali,Beras Medium I,379869.53,520187.58,-140318.05,exact,high,True,full,0.06302085422786119,0.09546059935236371
2023,Banten,Beras Medium I,960504.4,1247471.3,-286966.9,exact,high,True,full,0.15935507927120485,0.2398632129373501
2023,Bengkulu,Beras Medium I,165120.08,211020.6,-45900.52000000002,exact,high,True,full,0.027391368447521686,0.03407531226498434
2023,DI Yogyakarta,Beras Medium I,303390.05,306301.5,-2911.4500000000116,exact,high,True,full,0.05033199963406475,0.05299339142222127
2023,DKI Jakarta,Beras Medium I,1576.37,959952.2000000001,-958375.8300000001,exact,high,True,full,0.0002575234485753959,0.18277612525222625
2023,Gorontalo,Beras Medium I,140390.0,135275.58000000002,5114.419999999984,exact,high,True,full,0.02328835428982928,0.01903609365845887
2023,Jambi,Beras Medium I,159624.9,327859.5,-168234.6,exact,high,True,full,0.026479652782264308,0.057273745097215036
2023,Jawa Barat,Beras Medium I,5278209.2,4786573.7,491635.5,exact,high,True,full,0.8757136160465196,0.9425540916839527
2023,Jawa Tengah,Beras Medium I,5223899.08,3387523.54,1836375.54,exact,high,True,full,0.8667029217315002,0.6647718533568066
2023,Jawa Timur,Beras Medium I,5607131.53,3716485.19,1890646.3400000003,exact,high,True,full,0.9302857394189945,0.730087383902753
2023,Kalimantan Barat,Beras Medium I,414286.15,542004.0,-127717.84999999998,exact,high,True,full,0.0687309804838183,0.09979226247149384
2023,Kalimantan Selatan,Beras Medium I,518040.84,403796.22000000003,114244.62,exact,high,True,full,0.08594511654795506,0.07235102585233948
2023,Kalimantan Tengah,Beras Medium I,196487.84,262309.0,-65821.16,exact,high,True,full,0.03259565259763757,0.0442586544778311
2023,Kalimantan Timur,Beras Medium I,132022.44,353784.04000000004,-221761.60000000003,exact,high,True,full,0.021900076647972045,0.0624210778767643
2023,Kalimantan Utara,Beras Medium I,13992.14,64972.98,-50980.840000000004,exact,high,True,full,0.0023174472372834262,0.005077470768041542
2023,Kepulauan Bangka Belitung,Beras Medium I,39398.13,130422.27999999998,-91024.15,exact,high,True,full,0.006532602896310482,0.018072468067455653
2023,Kepulauan Riau,Beras Medium I,185.41,39400.3,-39214.89,exact,high,True,full,2.6746654776757432e-05,0.0
2023,Lampung,Beras Medium I,1585385.58,874202.22,711183.3600000001,exact,high,True,full,0.26303029295492686,0.16575041590889003
2023,Maluku,Beras Medium I,44777.38,166909.82,-122132.44,exact,high,True,full,0.007425084396886578,0.025317090756502975
2023,Maluku Utara,Beras Medium I,14920.97,121718.68,-106797.70999999999,exact,high,True,full,0.0024715511722520735,0.016344363129814143
2023,Nusa Tenggara Barat,Beras Medium I,876273.53,684293.3400000001,191980.18999999994,exact,high,True,full,0.14538017696095157,0.12804389524732823
2023,Nusa Tenggara Timur,Beras Medium I,449144.5,632260.26,-183115.76,exact,high,True,full,0.07451439499617722,0.11771269637919365
2023,Papua,Beras Medium I,2147.17,63879.2,-61732.03,exact,high,True,full,0.0003522259518107607,0.004860300100881569
2023,Papua Barat,Beras Medium I,13559.26,48535.76,-34976.5,exact,high,True,full,0.0022456273010526546,0.0018138509965561992
2023,Papua Barat Daya,Beras Medium I,1440.2,,,exact,partial_supply,True,supply_only,0.00023493122736733778,
