No,Kelompok Bahan Pangan,Komoditas,konsumsi_pangan,Satuan,Tahun
195,Umbi-umbian,Umbi Lainnya,0.9,kg/kap/tahun,2023
196,Pangan Hewani,Pangan Hewani,45.2,kg/kap/tahun,2023
197,Pangan Hewani,Daging Ruminansia,4.1,kg/kap/tahun,2023
198,Pangan Hewani,Daging Unggas,9.1,kg/kap/tahun,2023
199,Pangan Hewani,Telur,7.2,kg/kap/tahun,2023
200,Pangan Hewani,Susu,2.6,kg/kap/tahun,2023
201,Pangan Hewani,Ikan,22.2,kg/kap/tahun,2023
202,Minyak dan Lemak,Minyak dan Lemak,10.3,kg/kap/tahun,2023
203,Minyak dan Lemak,Minyak Kelapa,0.3,kg/kap/tahun,2023
204,Minyak dan Lemak,Minyak Sawit,9.6,kg/kap/tahun,2023
205,Minyak dan Lemak,Minyak Lainnya,0.4,kg/kap/tahun,2023
206,Buah/biji berminyak,Buah/biji berminyak,1.3,kg/kap/tahun,2023
207,Buah/biji berminyak,Kelapa,1.1,kg/kap/tahun,2023
208,Buah/biji berminyak,Kemiri,0.2,kg/kap/tahun,2023
209,Kacang-kacangan,Kacang-kacangan,8.6,kg/kap/tahun,2023
210,Kacang-kacangan,Kedelai,7.8,kg/kap/tahun,2023
211,Kacang-kacangan,Kacang Tanah,0.3,kg/kap/tahun,2023
212,Kacang-kacangan,Kacang Hijau,0.4,kg/kap/tahun,2023
213,Kacang-kacangan,Kacang Lain,0.1,kg/kap/tahun,2023
214,Gula,Gula,6.5,kg/kap/tahun,2023
215,Gula,Gula Pasir,5.9,kg/kap/tahun,2023
216,Gula,Gula Merah,0.6,kg/kap/tahun,2023
217,Sayuran dan buah,Sayuran dan buah,87.8,kg/kap/tahun,2023
218,Sayuran dan buah,Sayur,55.4,kg/kap/tahun,2023
219,Sayuran dan buah,Buah,32.4,kg/kap/tahun,2023
220,Lain-lain,Lain-lain,30.2,kg/kap/tahun,2023
221,Lain-lain,Minuman,26.8,kg/kap/tahun,2023
222,Lain-lain,Bumbu-Bumbuan,3.4,kg/kap/tahun,2023
223,Padi-padian,Padi-padian,109.7,kg/kap/tahun,2024
224,Padi-padian,Beras,92.1,kg/kap/tahun,2024
225,Padi-padian,Jagung,1.5,kg/kap/tahun,2024
226,Padi-padian,Terigu,16.1,kg/kap/tahun,2024
227,Umbi-umbian,Umbi-umbian,15,kg/kap/tahun,2024
228,Umbi-umbian,Singkong,8.5,kg/kap/tahun,2024
229,Umbi-umbian,Ubi Jalar,3.1,kg/kap/tahun,2024
230,Umbi-umbian,Kentang,2.5,kg/kap/tahun,2024
231,Umbi-umbian,Sagu,0.6,kg/kap/tahun,2024
232,Umbi-umbian,Umbi Lainnya,0.3,kg/kap/tahun,2024
233,Pangan Hewani,Pangan Hewani,45.5,kg/kap/tahun,2024
234,Pangan Hewani,Daging Ruminansia,3.3,kg/kap/tahun,2024
235,Pangan Hewani,Daging Unggas,9.9,kg/kap/tahun,2024
236,Pangan Hewani,Telur,7.2,kg/kap/tahun,2024
237,Pangan Hewani,Susu,2.6,kg/kap/tahun,2024
238,Pangan Hewani,Ikan,22.5,kg/kap/tahun,2024
239,Minyak dan Lemak,Minyak dan Lemak,10.3,kg/kap/tahun,2024
240,Minyak dan Lemak,Minyak Kelapa,0.4,kg/kap/tahun,2024
241,Minyak dan Lemak,Minyak Sawit,9.5,kg/kap/tahun,2024
242,Minyak dan Lemak,Minyak Lainnya,0.4,kg/kap/tahun,2024
243,Buah/biji berminyak,Buah/biji berminyak,1.2,kg/kap/tahun,2024
244,Buah/biji berminyak,Kelapa,1,kg/kap/tahun,2024
245,Buah/biji berminyak,Kemiri,0.2,kg/kap/tahun,2024
246,Kacang-kacangan,Kacang-kacangan,10,kg/kap/tahun,2024
247,Kacang-kacangan,Kedelai,9.1,kg/kap/tahun,2024
248,Kacang-kacangan,Kacang Tanah,0.3,kg/kap/tahun,2024
249,Kacang-kacangan,Kacang Hijau,0.4,kg/kap/tahun,2024
250,Kacang-kacangan,Kacang Lain,0.2,kg/kap/tahun,2024
251,Gula,Gula,6,kg/kap/tahun,2024
252,Gula,Gula Pasir,5.5,kg/kap/tahun,2024
253,Gula,Gula Merah,0.5,kg/kap/tahun,2024
254,Sayuran dan buah,Sayuran dan buah,89.3,kg/kap/tahun,2024
255,Sayuran dan buah,Sayur,52.1,kg/kap/tahun,2024
256,Sayuran dan buah,Buah,37.2,kg/kap/tahun,2024
257,Lain-lain,Lain-lain,31.2,kg/kap/tahun,2024
258,Lain-lain,Minuman,27.9,kg/kap/tahun,2024
259,Lain-lain,Bumbu-Bumbuan,3.3,kg/kap/tahun,2024
260,Padi-padian,Padi-padian,103.6,kg/kap/tahun,2025
261,Padi-padian,Beras,87.3,kg/kap/tahun,2025
262,Padi-padian,Jagung,1.5,kg/kap/tahun,2025
263,Padi-padian,Terigu,14.8,kg/kap/tahun,2025
264,Umbi-umbian,Umbi-umbian,18.3,kg/kap/tahun,2025
265,Umbi-umbian,Singkong,10.9,kg/kap/tahun,2025
266,Umbi-umbian,Ubi Jalar,4,kg/kap/tahun,2025
267,Umbi-umbian,Kentang,2.5,kg/kap/tahun,2025
268,Umbi-umbian,Sagu,0.3,kg/kap/tahun,2025
269,Umbi-umbian,Umbi Lainnya,0.6,kg/kap/tahun,2025
270,Pangan Hewani,Pangan Hewani,48.7,kg/kap/tahun,2025
271,Pangan Hewani,Daging Ruminansia,5.1,kg/kap/tahun,2025
272,Pangan Hewani,Daging Unggas,10.5,kg/kap/tahun,2025
273,Pangan Hewani,Telur,7.7,kg/kap/tahun,2025
274,Pangan Hewani,Susu,2.3,kg/kap/tahun,2025
275,Pangan Hewani,Ikan,23.1,kg/kap/tahun,2025
276,Minyak dan Lemak,Minyak dan Lemak,10.6,kg/kap/tahun,2025
277,Minyak dan Lemak,Minyak Kelapa,0.2,kg/kap/tahun,2025
278,Minyak dan Lemak,Minyak Sawit,10,kg/kap/tahun,2025
279,Minyak dan Lemak,Minyak Lainnya,0.5,kg/kap/tahun,2025
280,Buah/biji berminyak,Buah/biji berminyak,1.2,kg/kap/tahun,2025
281,Buah/biji berminyak,Kelapa,1,kg/kap/tahun,2025
282,Buah/biji berminyak,Kemiri,0.2,kg/kap/tahun,2025
283,Kacang-kacangan,Kacang-kacangan,10.8,kg/kap/tahun,2025
284,Kacang-kacangan,Kedelai,8.8,kg/kap/tahun,2025
285,Kacang-kacangan,Kacang Tanah,0.4,kg/kap/tahun,2025
286,Kacang-kacangan,Kacang Hijau,0.3,kg/kap/tahun,2025
287,Kacang-kacangan,Kacang Lain,1.2,kg/kap/tahun,2025
288,Gula,Gula,8.9,kg/kap/tahun,2025
289,Gula,Gula Pasir,8.4,kg/kap/tahun,2025
290,Gula,Gula Merah,0.5,kg/kap/tahun,2025
291,Sayuran dan buah,Sayuran dan buah,95.6,kg/kap/tahun,2025
292,Sayuran dan buah,Sayur,56.5,kg/kap/tahun,2025
293,Sayuran dan buah,Buah,39.1,kg/kap/tahun,2025
294,Lain-lain,Lain-lain,28.8,kg/kap/tahun,2025
295,Lain-lain,Minuman,25.4,kg/kap/tahun,2025
296,Lain-lain,Bumbu-Bumbuan,3.4,kg/kap/tahun,2025
