No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,%AKP
322,6106,Kabupaten Kapuas Hulu,Kalimantan Barat,2021,174.4
323,6109,Kabupaten Sekadau,Kalimantan Barat,2021,162.8
324,6110,Kabupaten Melawi,Kalimantan Barat,2021,162.5
325,6111,Kabupaten Kayong Utara,Kalimantan Barat,2021,175.3
326,6112,Kabupaten Kubu Raya,Kalimantan Barat,2021,147.2
327,6171,Kota Pontianak,Kalimantan Barat,2021,155.5
328,6172,Kota Singkawang,Kalimantan Barat,2021,155.3
329,6201,Kabupaten Kotawaringin Barat,Kalimantan Tengah,2021,175.9
330,6202,Kabupaten Kotawaringin Timur,Kalimantan Tengah,2021,185
331,6203,Kabupaten Kapuas,Kalimantan Tengah,2021,179.9
332,6204,Kabupaten Barito Selatan,Kalimantan Tengah,2021,184.9
333,6205,Kabupaten Barito Utara,Kalimantan Tengah,2021,167.4
334,6208,Kabupaten Sukamara,Kalimantan Tengah,2021,171.8
335,6209,Kabupaten Lamandau,Kalimantan Tengah,2021,193.3
336,6207,Kabupaten Seruyan,Kalimantan Tengah,2021,173.2
337,6206,Kabupaten Katingan,Kalimantan Tengah,2021,177
338,6211,Kabupaten Pulang Pisau,Kalimantan Tengah,2021,194.5
339,6210,Kabupaten Gunung Mas,Kalimantan Tengah,2021,162
340,6213,Kabupaten Barito Timur,Kalimantan Tengah,2021,184.7
341,6212,Kabupaten Murung Raya,Kalimantan Tengah,2021,167.4
342,6271,Kota Palangka Raya,Kalimantan Tengah,2021,171.8
343,6301,Kabupaten Tanah Laut,Kalimantan Selatan,2021,191.3
344,6302,Kabupaten Kota Baru,Kalimantan Selatan,2021,171.8
345,6303,Kabupaten Banjar,Kalimantan Selatan,2021,178.2
346,6304,Kabupaten Barito Kuala,Kalimantan Selatan,2021,185.6
347,6305,Kabupaten Tapin,Kalimantan Selatan,2021,197.5
348,6306,Hulu Sungai Selatan,Kalimantan Selatan,2021,190.7
349,6307,Hulu Sungai Tengah,Kalimantan Selatan,2021,196.5
350,6308,Hulu Sungai Utara,Kalimantan Selatan,2021,178.3
351,6309,Kabupaten Tabalong,Kalimantan Selatan,2021,178.9
352,6310,Kabupaten Tanah Bumbu,Kalimantan Selatan,2021,181.9
353,6311,Kabupaten Balangan,Kalimantan Selatan,2021,182.2
354,6371,Kota Banjarmasin,Kalimantan Selatan,2021,170.3
355,6372,Kota Banjar Baru,Kalimantan Selatan,2021,175.9
356,6401,Kabupaten Paser,Kalimantan Timur,2021,169
357,6407,Kabupaten Kutai Barat,Kalimantan Timur,2021,178.4
358,6402,Kabupaten Kutai Kertanegara,Kalimantan Timur,2021,170.1
359,6408,Kabupaten Kutai Timur,Kalimantan Timur,2021,173
360,6403,Kabupaten Berau,Kalimantan Timur,2021,166.9
361,6409,Kabupaten Penajam Paser Utara,Kalimantan Timur,2021,163.8
362,6411,Kabupaten Mahakam Ulu,Kalimantan Timur,2021,171.1
363,6471,Kota Balikpapan,Kalimantan Timur,2021,166.5
364,6472,Kota Samarinda,Kalimantan Timur,2021,165.1
365,6474,Kota Bontang,Kalimantan Timur,2021,157.5
366,6502,Kabupaten Malinau,Kalimantan Utara,2021,152.7
367,6501,Kabupaten Bulungan,Kalimantan Utara,2021,172.1
368,6504,Kabupaten Tana Tidung,Kalimantan Utara,2021,151.1
