No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Skor_PPH
338,6211,Kabupaten Pulang Pisau,Kalimantan Tengah,2021,88.5
339,6210,Kabupaten Gunung Mas,Kalimantan Tengah,2021,75.8
340,6213,Kabupaten Barito Timur,Kalimantan Tengah,2021,82.5
341,6212,Kabupaten Murung Raya,Kalimantan Tengah,2021,72.6
342,6271,Kota Palangka Raya,Kalimantan Tengah,2021,85.8
343,6301,Kabupaten Tanah Laut,Kalimantan Selatan,2021,84.8
344,6302,Kabupaten Kota Baru,Kalimantan Selatan,2021,82.4
345,6303,Kabupaten Banjar,Kalimantan Selatan,2021,81.5
346,6304,Kabupaten Barito Kuala,Kalimantan Selatan,2021,79.9
347,6305,Kabupaten Tapin,Kalimantan Selatan,2021,84.4
348,6306,Hulu Sungai Selatan,Kalimantan Selatan,2021,82.8
349,6307,Hulu Sungai Tengah,Kalimantan Selatan,2021,85.7
350,6308,Hulu Sungai Utara,Kalimantan Selatan,2021,77.6
351,6309,Kabupaten Tabalong,Kalimantan Selatan,2021,86.5
352,6310,Kabupaten Tanah Bumbu,Kalimantan Selatan,2021,85.4
353,6311,Kabupaten Balangan,Kalimantan Selatan,2021,84.9
354,6371,Kota Banjarmasin,Kalimantan Selatan,2021,82
355,6372,Kota Banjar Baru,Kalimantan Selatan,2021,86.5
356,6401,Kabupaten Paser,Kalimantan Timur,2021,86.4
357,6407,Kabupaten Kutai Barat,Kalimantan Timur,2021,80.6
358,6402,Kabupaten Kutai Kertanegara,Kalimantan Timur,2021,81.1
359,6408,Kabupaten Kutai Timur,Kalimantan Timur,2021,87.1
360,6403,Kabupaten Berau,Kalimantan Timur,2021,84
361,6409,Kabupaten Penajam Paser Utara,Kalimantan Timur,2021,85.3
362,6411,Kabupaten Mahakam Ulu,Kalimantan Timur,2021,78.3
363,6471,Kota Balikpapan,Kalimantan Timur,2021,86.1
364,6472,Kota Samarinda,Kalimantan Timur,2021,77.1
365,6474,Kota Bontang,Kalimantan Timur,2021,89.8
366,6502,Kabupaten Malinau,Kalimantan Utara,2021,77.3
367,6501,Kabupaten Bulungan,Kalimantan Utara,2021,85.9
368,6504,Kabupaten Tana Tidung,Kalimantan Utara,2021,79.3
369,6503,Kabupaten Nunukan,Kalimantan Utara,2021,77.1
370,6571,Kota Tarakan,Kalimantan Utara,2021,80.9
371,7101,Kabupaten Bolaang Mongondow,Sulawesi Utara,2021,81.7
372,7102,Kabupaten Minahasa,Sulawesi Utara,2021,82.2
373,7103,Kabupaten Kepulauan Sangihe,Sulawesi Utara,2021,72.8
374,7104,Kabupaten Kepulauan Talaud,Sulawesi Utara,2021,74
375,7105,Kabupaten Minahasa Selatan,Sulawesi Utara,2021,86.3
376,7106,Kabupaten Minahasa Utara,Sulawesi Utara,2021,85.5
377,7108,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,2021,79.8
378,7109,Kabupaten Kep. Siau Tagulandang Biaro,Sulawesi Utara,2021,66.8
379,7107,Kabupaten Minahasa Tenggara,Sulawesi Utara,2021,83.4
380,7111,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,2021,73.1
381,7110,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,2021,81.3
382,7171,Kota Manado,Sulawesi Utara,2021,80.9
383,7172,Kota Bitung,Sulawesi Utara,2021,84.4
384,7173,Kota Tomohon,Sulawesi Utara,2021,82
385,7174,Kota Kotamobago,Sulawesi Utara,2021,84.1
386,7207,Kabupaten Banggai Kepulauan,Sulawesi Tengah,2021,73.3
387,7201,Kabupaten Banggai,Sulawesi Tengah,2021,77.9
388,7206,Kabupaten Morowali,Sulawesi Tengah,2021,80.8
389,7202,Kabupaten Poso,Sulawesi Tengah,2021,82
390,7203,Kabupaten Donggala,Sulawesi Tengah,2021,71.3
391,7204,Kabupaten Toli-Toli,Sulawesi Tengah,2021,65.9
392,7205,Kabupaten Buol,Sulawesi Tengah,2021,75.7
393,7208,Kabupaten Parigi Moutong,Sulawesi Tengah,2021,77.8
394,7209,Kabupaten Tojo Una-Una,Sulawesi Tengah,2021,72
395,7210,Kabupaten Sigi,Sulawesi Tengah,2021,78.6
396,7211,Kabupaten Banggai Laut,Sulawesi Tengah,2021,70
397,7212,Kabupaten Morowali Utara,Sulawesi Tengah,2021,93.2
398,7271,Kota Palu,Sulawesi Tengah,2021,79.2
399,7301,Kabupaten Selayar,Sulawesi Selatan,2021,78
400,7302,Kabupaten Bulukumba,Sulawesi Selatan,2021,81.2
401,7303,Kabupaten Bantaeng,Sulawesi Selatan,2021,73.2
402,7304,Kabupaten Jeneponto,Sulawesi Selatan,2021,79
403,7305,Kabupaten Takalar,Sulawesi Selatan,2021,81.9
404,7306,Kabupaten Gowa,Sulawesi Selatan,2021,78.5
405,7307,Kabupaten Sinjai,Sulawesi Selatan,2021,94
406,7309,Kabupaten Maros,Sulawesi Selatan,2021,75.4
407,7310,Kabupaten Pangkajene dan Kepulauan,Sulawesi Selatan,2021,80.4
408,7311,Kabupaten Barru,Sulawesi Selatan,2021,75.5
409,7308,Kabupaten Bone,Sulawesi Selatan,2021,75.4
410,7312,Kabupaten Soppeng,Sulawesi Selatan,2021,75.7
411,7313,Kabupaten Wajo,Sulawesi Selatan,2021,80.5
412,7314,Kabupaten Sidenreng Rappang,Sulawesi Selatan,2021,83.3
413,7315,Kabupaten Pinrang,Sulawesi Selatan,2021,70.7
414,7316,Kabupaten Enrekang,Sulawesi Selatan,2021,74.2
415,7317,Kabupaten Luwu,Sulawesi Selatan,2021,80.1
416,7318,Kabupaten Tana Toraja,Sulawesi Selatan,2021,75
