No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,%AKE
337,6206,Kabupaten Katingan,Kalimantan Tengah,2021,102.2
338,6211,Kabupaten Pulang Pisau,Kalimantan Tengah,2021,109.6
339,6210,Kabupaten Gunung Mas,Kalimantan Tengah,2021,99.5
340,6213,Kabupaten Barito Timur,Kalimantan Tengah,2021,106.9
341,6212,Kabupaten Murung Raya,Kalimantan Tengah,2021,92.4
342,6271,Kota Palangka Raya,Kalimantan Tengah,2021,96.8
343,6301,Kabupaten Tanah Laut,Kalimantan Selatan,2021,106.6
344,6302,Kabupaten Kota Baru,Kalimantan Selatan,2021,102.9
345,6303,Kabupaten Banjar,Kalimantan Selatan,2021,118.2
346,6304,Kabupaten Barito Kuala,Kalimantan Selatan,2021,116.3
347,6305,Kabupaten Tapin,Kalimantan Selatan,2021,116.1
348,6306,Hulu Sungai Selatan,Kalimantan Selatan,2021,113
349,6307,Hulu Sungai Tengah,Kalimantan Selatan,2021,109.7
350,6308,Hulu Sungai Utara,Kalimantan Selatan,2021,105.4
351,6309,Kabupaten Tabalong,Kalimantan Selatan,2021,108.5
352,6310,Kabupaten Tanah Bumbu,Kalimantan Selatan,2021,106.1
353,6311,Kabupaten Balangan,Kalimantan Selatan,2021,116.7
354,6371,Kota Banjarmasin,Kalimantan Selatan,2021,104.8
355,6372,Kota Banjar Baru,Kalimantan Selatan,2021,102.7
356,6401,Kabupaten Paser,Kalimantan Timur,2021,100.6
357,6407,Kabupaten Kutai Barat,Kalimantan Timur,2021,94.7
358,6402,Kabupaten Kutai Kertanegara,Kalimantan Timur,2021,92
359,6408,Kabupaten Kutai Timur,Kalimantan Timur,2021,101.5
360,6403,Kabupaten Berau,Kalimantan Timur,2021,99.8
361,6409,Kabupaten Penajam Paser Utara,Kalimantan Timur,2021,101.7
362,6411,Kabupaten Mahakam Ulu,Kalimantan Timur,2021,96.6
363,6471,Kota Balikpapan,Kalimantan Timur,2021,94.8
364,6472,Kota Samarinda,Kalimantan Timur,2021,86.8
365,6474,Kota Bontang,Kalimantan Timur,2021,99.9
366,6502,Kabupaten Malinau,Kalimantan Utara,2021,87.7
367,6501,Kabupaten Bulungan,Kalimantan Utara,2021,98.1
368,6504,Kabupaten Tana Tidung,Kalimantan Utara,2021,94.2
369,6503,Kabupaten Nunukan,Kalimantan Utara,2021,97.9
370,6571,Kota Tarakan,Kalimantan Utara,2021,97.4
371,7101,Kabupaten Bolaang Mongondow,Sulawesi Utara,2021,101.5
372,7102,Kabupaten Minahasa,Sulawesi Utara,2021,101.2
373,7103,Kabupaten Kepulauan Sangihe,Sulawesi Utara,2021,94.6
374,7104,Kabupaten Kepulauan Talaud,Sulawesi Utara,2021,91.6
375,7105,Kabupaten Minahasa Selatan,Sulawesi Utara,2021,111.4
376,7106,Kabupaten Minahasa Utara,Sulawesi Utara,2021,105.3
377,7108,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,2021,99.3
378,7109,Kabupaten Kep. Siau Tagulandang Biaro,Sulawesi Utara,2021,85.1
379,7107,Kabupaten Minahasa Tenggara,Sulawesi Utara,2021,107.1
380,7111,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,2021,97.9
381,7110,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,2021,102.3
382,7171,Kota Manado,Sulawesi Utara,2021,93.6
383,7172,Kota Bitung,Sulawesi Utara,2021,104.3
384,7173,Kota Tomohon,Sulawesi Utara,2021,105.6
385,7174,Kota Kotamobago,Sulawesi Utara,2021,98.4
386,7207,Kabupaten Banggai Kepulauan,Sulawesi Tengah,2021,93.3
387,7201,Kabupaten Banggai,Sulawesi Tengah,2021,91.2
388,7206,Kabupaten Morowali,Sulawesi Tengah,2021,102.5
389,7202,Kabupaten Poso,Sulawesi Tengah,2021,105
390,7203,Kabupaten Donggala,Sulawesi Tengah,2021,98.1
391,7204,Kabupaten Toli-Toli,Sulawesi Tengah,2021,84.8
392,7205,Kabupaten Buol,Sulawesi Tengah,2021,87.3
