No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Konsumsi_Protein
220,3374,Kota Semarang,Jawa Tengah,2021,62.5
221,3375,Kota Pekalongan,Jawa Tengah,2021,62.4
222,3376,Kota Tegal,Jawa Tengah,2021,69.2
223,3401,Kabupaten Kulon Progo,DI Yogyakarta,2021,56.4
224,3402,Kabupaten Bantul,DI Yogyakarta,2021,63.1
225,3403,Kabupaten Gunung Kidul,DI Yogyakarta,2021,61.3
226,3404,Kabupaten Sleman,DI Yogyakarta,2021,73
227,3471,Kota Yogyakarta,DI Yogyakarta,2021,64.1
228,3501,Kabupaten Pacitan,Jawa Timur,2021,53.8
229,3502,Kabupaten Ponorogo,Jawa Timur,2021,56.1
230,3503,Kabupaten Trenggalek,Jawa Timur,2021,57.2
231,3504,Kabupaten Tulungagung,Jawa Timur,2021,58.5
232,3505,Kabupaten Blitar,Jawa Timur,2021,55
233,3506,Kabupaten Kediri,Jawa Timur,2021,58.5
234,3507,Kabupaten Malang,Jawa Timur,2021,55.2
235,3508,Kabupaten Lumajang,Jawa Timur,2021,66.1
236,3509,Kabupaten Jember,Jawa Timur,2021,63.5
237,3510,Kabupaten Banyuwangi,Jawa Timur,2021,60.7
238,3511,Kabupaten Bondowoso,Jawa Timur,2021,61
239,3512,Kabupaten Situbondo,Jawa Timur,2021,71.9
240,3513,Kabupaten Probolinggo,Jawa Timur,2021,59.7
241,3514,Kabupaten Pasuruan,Jawa Timur,2021,64.2
242,3515,Kabupaten Sidoarjo,Jawa Timur,2021,60.8
243,3516,Kabupaten Mojokerto,Jawa Timur,2021,62.4
244,3517,Kabupaten Jombang,Jawa Timur,2021,63.2
245,3518,Kabupaten Nganjuk,Jawa Timur,2021,60.4
246,3519,Kabupaten Madiun,Jawa Timur,2021,58.7
247,3520,Kabupaten Magetan,Jawa Timur,2021,56.4
248,3521,Kabupaten Ngawi,Jawa Timur,2021,58.7
249,3522,Kabupaten Bojonegoro,Jawa Timur,2021,57.1
250,3523,Kabupaten Tuban,Jawa Timur,2021,63.9
251,3524,Kabupaten Lamongan,Jawa Timur,2021,64.2
252,3525,Kabupaten Gresik,Jawa Timur,2021,64.4
253,3526,Kabupaten Bangkalan,Jawa Timur,2021,54.2
254,3527,Kabupaten Sampang,Jawa Timur,2021,59.4
255,3528,Kabupaten Pamekasan,Jawa Timur,2021,52.9
256,3529,Kabupaten Sumenep,Jawa Timur,2021,78
257,3571,Kota Kediri,Jawa Timur,2021,63.9
258,3572,Kota Blitar,Jawa Timur,2021,60.6
259,3573,Kota Malang,Jawa Timur,2021,57.7
260,3574,Kota Probolinggo,Jawa Timur,2021,63
261,3575,Kota Pasuruan,Jawa Timur,2021,61.5
262,3576,Kota Mojokerto,Jawa Timur,2021,61.3
263,3577,Kota Madiun,Jawa Timur,2021,63.1
264,3578,Kota Surabaya,Jawa Timur,2021,64.1
265,3579,Kota Batu,Jawa Timur,2021,56.2
266,3601,Kabupaten Pandeglang,Banten,2021,59.7
267,3602,Kabupaten Lebak,Banten,2021,70.6
268,3603,Kabupaten Tangerang,Banten,2021,77.1
269,3604,Kabupaten Serang,Banten,2021,59.6
270,3671,Kota Tangerang,Banten,2021,70.7
271,3672,Kota Cilegon,Banten,2021,65.7
272,3673,Kota Serang,Banten,2021,66.3
273,3674,Kota Tangerang Selatan,Banten,2021,65.9
274,5101,Kabupaten Jembrana,Bali,2021,68.9
275,5102,Kabupaten Tabanan,Bali,2021,62.6
276,5103,Kabupaten Badung,Bali,2021,63.2
277,5104,Kabupaten Gianyar,Bali,2021,64.6
278,5105,Kabupaten Klungkung,Bali,2021,61.1
279,5106,Kabupaten Bangli,Bali,2021,61.6
